,Object Number,image_path,Culture Area,Culture,Date Made,Description,Materials,Object Title,Period,Provenience,Section
9570,29-219-1C,images/507192_800.jpg,Central American,Guatemalan | Quiche,-1929,"Huipil length of 1 panel. Black embroidery with red, purple and yellow orange highlights.  Natural cotton with yellow stripes woven in.As per Sigrid Meier, ""Warp: 31 epi, two singles, Z  twist, white cotton. Weft: 35 ppi, two singles, Z  twist, white cotton. Balanced plainweave. Supplementary weft is two faced. One panel, two selvedges.""",Cotton,Blouse<br/><br/>Huipil,Bronze Age,Guatemala | Department of Quezaltenango,American
9577,97-563-5117,images/498430_800.jpg,Great Plains Culture Area,Sioux,one,Cream-colored; leaf-shaped; straight base; cortex remaining on greater part of one face.,Chalcedony,Knife,Mousterian,United States of America | Texas,American
9583,97-85-714,images/446880_800.jpg,Southwest Culture Area,Pueblo | Zuni,Three,"Round bottom; expanding rim. Brownish black and red design on white; in band on exterior; in centre of interior, quadrangle with birds' heads at points; scalloped design inside rim.",Clay,Bowl,Achaemenid,New Mexico | Zuni Pueblo,American
9584,NA9384,images/463670_800.jpg,Southwest Culture Area,Pueblo,One,Like a Cigar Holder,Stone,Pipe,Iron Age | Hallstatt I | Bylany Phase,Arizona,American
9586,65-10-20,images/53922_800.jpg,Amazonia,Cashinahua,3,"Double strand of black matsi seeds, some shriveled up, and a few Job;s tears strung lengthwise; two medium sized peccary and 3 large alligator teeth at intervals as spacers. Used by men in ceremonials with full dress.",Matsi Seed | Job's Tears Seed | Alligator Tooth | Animal Tooth,Necklace,Hissar IB,Peru | Rio Curanja,American
9587,65-10-19,images/53728_800.jpg,Amazonia,Cashinahua,65-10-56,"Large blue feathers, clipped at top; two large yellow and blue feathers in back; all bound with red, white and black cord; black wax (cf. 65-10-56) and stick at bottom; small stick through feather center farther up holds feathers tightly together; small yellow, blue and red feathers cover most of cord in front. Used in connection with intiation rites.",Feather | Cord | Resin (material) | Wood,Fire Fan,Hissar IB,Peru | Rio Curanja,American
9594,29-42-776,images/489206_800.jpg,Southwest Culture Area,Cliff Dweller,one,"Small stone of polished hematite, probably a sacred charm.",Hematite,Stone,Mousterian,Southeastern Utah | Cave,American
9595,42-35-3,images/517022_800.jpg,Central American,Guatemalan | Quiche,two,"Belt for man of noble rank. Heavy, closely woven, corded, red cotton with brocaded band on ends. Brocade of double headed eagles in magenta, yellow and green. Fringed ends. 42-35-1/5 are part of one costume.As per Sigrid Meier, ""Warp: 34 epi, two singles, Z twist, red cotton. Weft: 16 ppi, two singles, Z twist, red cotton. Warp predominantly plain weave. Supplementary weft is two faced. Woven on a backstrap loom.""",Cotton | Silk,Belt<br/><br/>Banda (Guatemalan Textile),Roman Period,Guatemala | Department of Quiche | Santo Tomas Chichicastenango,American
9609,29-27-1558,images/484464_800.jpg,Southwest Culture Area,Cliffdweller,One,"Black-on-White Ware sherd. Exterior undecorated, interior decorated with parallel lines.",Clay | Pigment,Sherd,Iron Age | Hallstatt I | Bylany Phase,Utah | Navaho Mountain | Balanced Rock | Navajo Reservation,American
9621,AF4626,images/618295_800.jpg,East Africa,Elgeyo,three,"Married woman's belt. Cf 4625. ""A married woman's belt -- three rows of shells.""",Leather | Cowrie,Belt,Bronze Age,Kenya,African
9624,29-10-80,images/632881_800.jpg,Northeast Culture Area,Algonkin | Iroquois,One,"Buckskin sling, pimasina b n. These are used by the children and occasionally by the hunters only for amusement, no attempt is made to kill animals, etc., with them. One informant said that they used to be used in ""Indian Wars."" If the specimen represents an old trait in the material culture it is of considerable interest. The nearest people known to use it are the Eskimo.",Buckskin,Bag<br/><br/>Babiche,Iron Age | Hallstatt I | Bylany Phase,Canada | Quebec | Maniwaki,American
9626,29-79-1,images/455906_800.jpg,Southwest Culture Area,Prehistoric Pueblo,half,Black and white on brown. Bidahochi Polychrome; Fragment; Repaired,Clay,Bowl,Cypro-Geometric IA,Northeast Arizona,American
9636,37074,images/843830_800.jpg,Great Basin Culture Area,Uinta Ute,one,Wood with incised snake and bird designs on both sides. Red and yellow pigmentation. Thick leather straps attached at one end. Buckskin wriststrap attached at one end.,Wood | Hide,Whip,Mousterian,United States of America | Utah | Whiterocks,American
9641,42-35-83,images/511326_800.jpg,Central American,Quiche,three,"Cotton red and white and mixed red and blue stripes with two broader blue and white center stripes. Brocaded in bands of leaves and checkerboard with red and purple cotton and cerise, green, purple, white and yellow silk. One end fringed.As per Sigrid Meier, ""Warp: 48 epi, two singles, Z twist, white cotton. Three singles, Z twist, red cotton. Two singles, Z twist, blue cotton. Weft: 18 ppi, two singles, Z twist, red cotton. Three singles, Z twist, white cotton. Warp faced plain weave. Supplementary weft single faced. One panel, three selvedges. Woven on a backstrap loom.""",Cotton | Silk,Utility Cloth<br/><br/>Tzute,Bronze Age,Guatemala | Almolonga | Department of Quezaltenango,American
9646,29-78-322,images/453610_800.jpg,Southwest Culture Area,Anasazi,Two,"Chaco Black/White; Flattened base, discoidal body, short nearly cylindrical neck. Two loop handles on shoulder. Encircling design: frog swallowed by serpent, between sawtooth bands.",Clay,Bottle,Pueblo II | Pueblo III,Northeast Arizona,American
9682,29-44-127,images/458247_800.jpg,Southwest Culture Area,Cliff Dweller,one,Notched [...] Part of handle attached.,Stone,Axe,Mousterian,United States of America | Southeastern Utah | Deep Canyon,American
9685,38720,images/861632_800.jpg,Southwest Culture Area,Hopi,Two,"A Ho'ote (or Ho'te) Hopi Katsina mask. The mask is painted black with a white star on each cheek. The forehead has a ""V"" shape between the eyes painted red and flanked on either side by white dots. The bulging eyes are made from balls of cloth stuffed with plant fiber. The mouth is protruding with long carved teeth painted black, red, and white. Strips of cloth are attached at the lower edge of the mask. Two horns that would be attached on either side of the head are missing.",Leather | Pigment | Fiber | Wood,Mask,Birnirk,United States of America | Arizona | First Mesa | Hano,American
9686,38719,images/861702_800.jpg,Southwest Culture Area,Hopi-Tewa,One,"A Hopi Katsina mask with a wide mouth bearing teeth. A long, black beard hangs below the mouth. Animal skin with long hair is also attached on the top of the head. The nose is a made from a carved piece of wood and painted with zigzag designs. The mask itself is made of canvas with traces of pigment.",Canvas | Wood | Leather | Buffalo Hair | Horsehair,Mask,Iron Age | Hallstatt I | Bylany Phase,Arizona | First Mesa | Hano,American
9688,53-46-2,images/277750_800.jpg,Southeast Culture Area,Cherokee,1000 - 1650 CE,"Fragments of rims of pottery jars with modifications of hollow rims,i.e., multiple connections between rimand shoulder.  Ground shell (?) tempering very evident.  Thickly spaced columnar connections.",Clay,Rim Sherd,Mississippi Period,North America | United States of America | Alabama | Hale County | Moundville,American
9693,42389,images/216297_800.jpg,Arctic Culture Area,Eskimo,Two,Kok-a-rok-a-via. See #42385.,Skin | Glass | Sinew,Quiver,Birnirk,Alaska | Point Barrow,American
9694,NA5737,images/27830_800.jpg,Northwest Coast Culture Area,Tlingit,two,"Neck ring made from twisted cedar bark fibers. The ends are wrapped with a thin band of white, eagle down to form a loop. Ends are frayed.",Cedar Bark | Eagle Down,Neck Ring,Roman Period,Alaska,American
9702,30139,images/38654_800.jpg,Andean,Inca,Two,"Loom weave. Black and white with crocheted S edgeNarrow but thick woven band with decorative pattern and decorative edge. Two sided. Catalogue cards says ""loom weave"".  Color(s): Brown, black and off-white.",Wool,Pouch Band,Birnirk,Peru | Pachacamac | Gravefield I,American
9704,29-42-23,images/459593_800.jpg,Southwest Culture Area,Cliff Dweller,one,"A short thick bone awl, worn down from long use.",Deer Bone,Awl,Mousterian,United States of America | Southeastern Utah | Between San Juan and Colorado Rivers,American
9707,70-13-32,images/511150_800.jpg,Central American,Jacaltec,Two,"Wrap around type skirt. Shocking pink, deep red, green, deep blue and purple horizontal wool stripes interspaced with jaspe stripes.As per Sigrid Meier, ""Warp: 22 epi, two singles, Z twist, black cotton. Weft: 20 ppi, two ply, white/black jaspe cotton. Two ply, green, blue and pink synthetic thread. Weft predominant plain weave. Woven on a treadle loom.""",Cotton | Wool,Skirt Length<br/><br/>Corte,Birnirk,Guatemala | Department of Huehuetenango | Jacaltenango,American
9709,46-14-4,images/469405_800.jpg,Southwest Culture Area,Apache (uncertain),29,"Thin, hatched blade form, perforated and with tie of twisted calico strip.",Turquoise (uncertain) | Fiber,Ear Pendant (uncertain),Pueblo III (uncertain),Arizona (uncertain),American
9711,39010,images/448309_800.jpg,Southwest Culture Area,Protohistoric Hopi,17th century,Jeddito Black-on-Yellow,Clay,Ladle,Pueblo IV,Arizona | Koo-Uy-Kah,American
9712,39009,images/448308_800.jpg,Southwest Culture Area,Hopi,1973,"Awatovi Black-on-Orange War ladle, large bowl, short handle. Exterior and interior decorated with cross, tick and line elements.",Clay | Pigment,Ladle,Late Minoan I,Arizona | Awatovi,American
9713,38909,images/465955_800.jpg,Southwest Culture Area,Hopi,1973,"Wooden Katsina doll. The face is unpainted with a red, plumed serpent on each cheek. The mouth is a black and red, protruding tube. An area between the eyes is painted with a yellow, terraced design. The ears are painted, round flower blossoms with feathers coming out. A painted brim with feathers sits above the forehead. Rainbows are painted on the back of the head. The body is painted red and white and a kilt is painted over the waist. This figure is the Water Serpent (Palolokong or Palulukon) Katsina. (Colton, H. 1959 #233, Wright, B., 1973 #198)",Wood | Paint | Feather | String | Metal,Water Serpent Katsina,Late Minoan I,United States of America | Arizona,American
9714,38899,images/465976_800.jpg,Southwest Culture Area,Hopi,1973,"Wooden Katsina doll. The face is painted green with a red border that curls below the cheeks representing a bean plant. The mouth is a protruding tube. Two conical projections are attached to the top of the head with a semicircular headdress between them. Feathers are also attached to the top and back of the head. The body is painted red and yellow and a kilt is painted over the waist. This figure is the Bean (Muzribi) Katsina. (Colton, H. 1959 #188, Wright, B., 1973 #140)",Wood | Paint | Feather | String,Bean Katsina,Late Minoan I,United States of America | Arizona,American
9722,32-25-344,images/485885_800.jpg,Southwest Culture Area,Cliff Dweller,one,Fine grained. Pebble with half of one face trimmed to a dull point and smoothed.,Stone,Pebble,Mousterian,United States of America | Texas | Abilene | Elm Creek,American
9733,29-79-127,images/453267_800.jpg,Southwest Culture Area,Anasazi,one,"Small, globular, Tularosa Black-on-White or Roosevelt Black/White; fragment",Clay,Pitcher,Mousterian,Arizona | Northeast Arizona | Upper Gila Area | Salt Area,American
9739,29-78-205,images/453906_800.jpg,Southwest Culture Area,Anasazi,one,Little Colorado Black/White; fragment,Clay,Pitcher,Mousterian,Northeast Arizona | Little Colorado Area,American
9740,29-78-195,images/441992_800.jpg,Southwest Culture Area,Anasazi,one,Small. Tularosa Black-on-White; fragment,Clay,Olla,Mousterian,Eastern Arizona | Upper Gila Area | Upper Salt Area,American
9742,30186,images/88526_800.jpg,Andean,Inca,one,"half; with all over pattern, brocaded in red. Little birds in diamondsHalf of a ""poncho"". This is one side of a poncho with an open side (most likely the middle of the garment) and a seamed side (with a running stitch). The arm aperture is visible in the side seam. There is an all over design (one-sided) with little birds in diamonds brocaded in red onto the white plain weave substructure. Color(s): Red and white.",Cotton,Poncho Fragment,Mousterian,Peru | Pachacamac | Gravefield I (uncertain) | Gravefield II (uncertain),American
9743,29-42-70,images/459796_800.jpg,Southwest Culture Area,Cliff Dweller,one,Bone bodkin made from the joint end of a long bone that has been sharpened to a point. Cracked and open at point end.,Turkey Bone,Bodkin,Mousterian,United States of America | Southeastern Utah | Between San Juan and Colorado Rivers,American
9744,29-42-69,images/459845_800.jpg,Southwest Culture Area,Cliff Dweller,one,Bone bodkin made from the joint end of a long bone that has been sharpened to a point.,Turkey Bone,Bodkin,Mousterian,United States of America | Southeastern Utah | Between San Juan and Colorado Rivers,American
9747,97-84-456,images/706728_800.jpg,Siberia,Eskimo,one,"Flat, shaped wooden handle with incised line. Blade, long curved bone of whale, with think broad bit.",Wood | Whale Bone,Pick Axe,Mousterian,Siberia,American
9756,30-3-78B,images/102281_800.jpg,Subarctic Culture Area,Naskapi | Barren Ground Band,1,"Strings of blue, white, and red beads.",Glass,Earring,Late Minoan I,Canada | Labrador,American
9760,38-23-2,images/478440_800.jpg,Central American,Huichol,circa 1995,"For men. Large, long, wide. Woven of black and  white wool. Warp pattern technique. Tassels on ends. Double water-gourd design (?)",Wool,Faja<br/><br/>Belt,Bronze Age,Mexico (Central America) | Nayarit,American
9767,22931,images/449048_800.jpg,Southwest Culture Area,Anasazi,one,"Black-on-White Ware bowl, slightly curved sides, flat base, chipped rim. Indented corrugation on the exterior, undecorated band under the rim. Interior decorated with a band opposing triangles around the rim.",Clay,Bowl,Mousterian,Colorado | Mesa Verde Region,American
9769,97-83-972,images/104162_800.jpg,Central American,Cocle,four,"Orange ware. Annular base pierced by four small holes. Scroll design in black.As per ANSP Ledger ""These cups are believed to have been used as sockets wherein the lower end of the spindle rested. see Penafiel's ""Monumentos del arte mexicano."" I.""",Clay | Pigment,Spindle Bowl,Geometric Period,Mexico (Central America),American
9775,43-19-57,images/494830_800.jpg,Southwest Culture Area,Pueblo,One,"White, with thick lines and triangle motif with pendent dots. Exterior plain.",Clay,Bowl Rim Sherd,Iron Age | Hallstatt I | Bylany Phase,New Mexico | Chaco Canyon | Pueblo Bonito,American
9777,56-28-1477,images/846422_800.jpg,Arctic Culture Area,Denbigh Flint Complex,one,"Flake with striking platform and bulb of percussion still present, secondary chipping of edges, fragment removed from one end similar to burin spall detachment.",Flint,Side Scraper,Mousterian,Alaska | Norton Sound | Cape Denbigh | Iyatayet,American
9789,42-1-42,images/447703_800.jpg,Southwest Culture Area,Pueblo | Acoma,two,"Polychrome; bird/floral design. Concave base, turnip-shaped body, shouldered, insloping neck. Red band above tan bottom; red and black decoration on white slip: two birds and floral design.",Clay,Jar,Roman Period,New Mexico | Acoma,American
9793,27386,images/80714_800.jpg,Andean,Inca,One,"plainNarrow-necked jar/bottle with a globular body, bulging neck, rounded rim, 1 strap handle extending from the neck to the body, and a rounded base. There are no molded/modeled additions and no decoration. There appears to be a burnished finish on the exterior. The vessel was likely fired in an oxidizing atmosphere as the ceramic paste is orange and gray in color. Fireclouding is present on the body. One side of the body appears dark gray/brown and porous, possibly from overfiring. Evidence of usewear includes residues/staining on the exterior. There is a black stain on bottom of base. The catalogue number is written on the bottom of the base. No other numbers are visible on the object.",Ceramic,Pitcher,Iron Age | Hallstatt I | Bylany Phase,Peru | Beneath The Temple | Pachacamac,American
9794,97-85-733,images/445399_800.jpg,Southwest Culture Area,Hopi,1973,Bowl like Ladle,Clay,Dipper,Late Minoan I,Arizona,American
9795,NA8951,images/29088_800.jpg,Great Basin Culture Area,Paiute | Panamint,four,Globular shape; four horizontal bands of ant tracks design.,Willow | Yucca,Basket,Geometric Period,Nevada,American
9799,29-48-420,images/731746_800.jpg,Northeast Culture Area,Ojibwa,1901,Birch. For pounding grain.,Birch Wood,Grain Pounder,Qing Dynasty | 20th Century,North America | Canada | Ontario | Bing Inlet (uncertain),American
9802,45-15-537,images/153516_800.jpg,Great Plains Culture Area,Sioux,two,"Back of an eagle in center, above a square of buckskin. Beaded with blue, white tipis, on yellow ground, cut into strips below. Wrapped in red quill , finished with tinklers, pendants of blue stroud, eagle feathers. The center one quilled, feather tipped, two standards, of eagle feathers, quill strips. Ribbon tassels and bells, with bunches of hawk feathers at their base, knitted waist sash striped light and dark blue, green, and yellow.",Buckskin | Eagle Feather | Hawk Feather | Glass | Quill | Metal | Fiber,Dance Bustle,Roman Period,United States of America | South Dakota,American
9806,31566,images/89081_800.jpg,Andean,Inca,1350-1500,No description available,Wool,Pouch,Iron Age | Hallstatt I | Bylany Phase,Peru | Sun Temple | Pachacamac,American
9816,29-27-217,images/481433_800.jpg,Southwest Culture Area,Cliff Dweller,two,"Rectangular, grooved maul or hammerhead. Edges are angular. One end is heavily broken along two edges. Brown stone.",Stone,Maul,Roman Period,United States of America | Texas | Alibates Creek,American
9831,80-22-7,images/512233_800.jpg,Central American,Guatemalan,four,"Cotton and silk skirt consisting of two panels joined with fagoting stitch, warp faced weave. Warp stripes and wide bands in white, blue, red, green, orange, purple and yellow. Blue and white ikat cotton stripe selvedges and ends finished. Excellent condition. Paper tag #6.As per Sigrid Meier, ""Warp: 84 epi, two ply. Weft: 20 ppi, two singles, white cotton. Warp faced plain weave. Two panels, four selvedges each. Woven on a backstrap loom.""",Cotton | Silk,Skirt<br/><br/>Refajo,Geometric Period,Guatemala,American
9833,36934,images/525144_800.jpg,Great Plains Culture Area,Arapaho,one,No description available,Porcupine Tail | Wood | Bead,Hairbrush,Mousterian,United States of America | Wyoming | Wind River Reservation,American
9846,37116,images/843846_800.jpg,Great Basin Culture Area,Uinta Ute,37110,Piece of hide wrapped around soft material and cinched shut with a buckskin strip.,Hide,Ball,Birnirk,United States of America | Utah | Whiterocks,American
9855,97-80-972,images/494670_800.jpg,Southwest Culture Area,Ancestral Pueblo,one,"Small, triangular body; serrated blade edges; corner-notched; acute shoulders; straight stem with straight base. Made from obsidian.",Obsidian,Arrowhead,Mousterian,United States of America | Utah,American
9856,29-42-876,images/462132_800.jpg,Southwest Culture Area,Cliff Dweller,one,"Circular jar rest formed with yucca leaves, twilled and finished along edges with herringbone pattern.",Yucca,Jar Rest,Mousterian,Southeastern Utah | Colorado River Region,American
9860,29-112-886,images/495229_800.jpg,Southwest Culture Area,Cliff Dweller,one,Sandstone. Rudely circular (one edge broken). Thin,Stone,Griddle,Mousterian,Greater Southwest,American
9868,29-78-408,images/454731_800.jpg,Southwest Culture Area,Prehistoric Pueblo,half,Plain Ware; handle fragment,Clay,Ladle,Cypro-Geometric IA,Northeast Arizona,American
9870,38976,images/79720_800.jpg,Southwest Culture Area,Hopi,1973,"Cylindrical, stone bead with a large perforation.",Stone,Bead,Late Minoan I,Arizona,American
9872,37-23-11,images/845455_800.jpg,Northeast Culture Area,Penobscot,one,Man's. Wooden handle with incised design; steel blade made from a file; bound with splint. Right handed.,Wood | Metal | Splint,Crooked Knife,Mousterian,United States of America | Maine | Oldtown,American
9874,45-15-184C,images/467415_800.jpg,Southwest Culture Area,Pueblo | Keres | Laguna,6,Wooden weaving comb with 6 teeth. Handle is cut to a point forming a pick.,Wood,Weaving Comb,Arabic,New Mexico | Laguna Pueblo,American
9876,NA2010,images/476037_800.jpg,California Culture Area,Pomo,four,No description available,Fiber,Basket<br/><br/>Tray,Geometric Period,California (State),American
9877,NA2009,images/476036_800.jpg,California Culture Area,Pomo,four,Twining strengthened by TI,Fiber,Basket<br/><br/>Tray,Geometric Period,California (State),American
9890,22855,images/449026_800.jpg,Southwest Culture Area,Prehistoric Pueblo,half,Corrugated; repaired,Clay,Jar,Cypro-Geometric IA,Colorado,American
9895,38271,images/448187_800.jpg,Southwest Culture Area,Pueblo | Tewa (Culture),1890s?,Pig,Clay,Effigy Vessel,Roman Period,New Mexico | Jemez Pueblo,American
9897,42-35-101,images/511332_800.jpg,Central American,Quiche,two,"Natural brown cotton with plaid formed by compound lengthwise stripes of alternating blue and white warps and blue edged with white. White crosswise stripes and short fringe at ends.As per Sigrid Meier, ""Warp: 32 epi, two singles, Z twist, natureal brown cotton, white and blue cotton. Weft: 20 ppi, two singles, Z twist, natural brown cotton, white and blue cotton. Warp predominantly plain weave. One panel, two selvedges. Woven on a backstrap loom.""",Cotton,Utility Cloth<br/><br/>Tzute,Roman Period,Guatemala | Olintepeque | Department of Quezaltenango,American
9898,27170,images/69792_800.jpg,Andean,Inca,912,"globular body; one vertical handle shoulder to neck. Plain with face on neck.Face-neck vessel. Narrow-necked jug with a globular body, cylindrical neck, missing rim, 1 strap handle extending from the neck to the body, and a flat base. The vessel has a modeled and incised face on the neck. There appears to be a burnished finish on the exterior. The vessel was likely fired in an oxidizing atmosphere as the ceramic paste is orange and gray in color. The catalogue number is written on the bottom of the base and black ink on the bottom of the base reads: ""912.""",Ceramic | Clay,Jug,Upper Paleolithic (uncertain) | Neolithic (uncertain),Peru | Pachacamac | Gravefield I,American
9902,29-44-45,images/489718_800.jpg,Southwest Culture Area,Cliff Dweller,one,Small flat polishing stone.,Stone,Stone,Mousterian,Southeastern Utah | Red Canyon,American
9907,29-44-85,images/489430_800.jpg,Southwest Culture Area,Cliff Dweller,one,grooved.,Stone,Axe,Mousterian,Southeastern Utah | Southwestern Colorado,American
9910,27055,images/69369_800.jpg,Andean,Proto-Lima,1209,"Round bottom, incurved rim. painted. decoration: angular interlocking scroll in negative design.Bowl with a globular body, no neck/collar, rounded rim, no handles, and a rounded base. No molded/modeled additions. The vessel is painted with a band of geometric design around the rim in white, and black. There appears to be a burnished finish on the exterior and a smoothed finish on the interior. The vessel was likely fired in an oxidizing atmosphere as the ceramic paste is orange in color. The catalogue number is written on the object in black ink on the bottom of the base. Black ink on the bottom of the base reads: ""1209.""",Ceramic | Clay,Bowl,Geometric Period,Peru | Pachacamac | Gravefield I,American
9913,51-14-2,images/83759_800.jpg,Andean,Moche,two,"Snake Warrior, Fineline. Wide ring base, globular body, stirrup spout over top. Buff ware, red slip on lower body, cream slip above with red painted decoration of two snake warriors, arrows and shields, cacti.",Ceramic,Stirrup Spout Vessel,Roman Period,"Peru | Peru, North Coast",American
9922,SA3228,images/11734_800.jpg,Andean,Paracas,two,Pottery; flattish base; red buff; traces of red vertical lines.,Ceramic,Bowl,Proto-Nasca (uncertain),Peru | Nazca District,American
9924,30-1-14,images/633687_800.jpg,Northeast Culture Area,Iroquois,1837-1901,Red broadcloth beaded on both sides in geometrical and floral designs.,Fiber | Trade Bead,Pouch,Woodland Period | Iroquois Aspect,United States of America (uncertain) | Canada (uncertain) | New York (uncertain),American
9925,29-77-810,images/456245_800.jpg,Southwest Culture Area,Anasazi,one,Small. Puerco Black/White,Clay,Pitcher,Mousterian,Northeast Arizona | Little Colorado Area,American
9926,29-77-809,images/441156_800.jpg,Southwest Culture Area,Prehistoric Pueblo,half,Small. Indented coil. Corrugated; cracked,Clay,Jar,Cypro-Geometric IA,Northeast Arizona,American
9927,29-77-799,images/443330_800.jpg,Southwest Culture Area,Anasazi,one,Little Colorado Black/White; fragment,Clay,Pitcher,Mousterian,Northeast Arizona | Little Colorado Area,American
9937,97-563-4648,images/497350_800.jpg,Great Plains Culture Area,Sioux,one,"Chert; light grey and white; elongate triangular blade; stem square, slightly expanding; shoulders slightly barbed, one broken.",Chert,Point,Mousterian,United States of America | Texas | Williamson County (Texas) | Georgetown,American
9940,29-43-244,images/462471_800.jpg,Southwest Culture Area,Basket-Maker,One,Made from skin of small animal.,Animal Skin,Pouch,Iron Age | Hallstatt I | Bylany Phase,Southeastern Utah | Canyon,American
9946,NA10550,images/861752_800.jpg,Great Plains Culture Area,Crow (Culture),One,War medicine from One-Blue-Bead.,Parfleche | Buckskin | Fiber,War Medicine,Iron Age | Hallstatt I | Bylany Phase,Montana,American
9947,NA10549,images/861719_800.jpg,Great Plains Culture Area,Crow (Culture),Two,War medicine from Two-Leggings.,Parfleche | Fiber,War Medicine,Birnirk,Montana,American
9949,53-54-458,images/870836_800.jpg,Northwest Coast Culture Area,Tlingit,8,"Black, fragments of one basket. False embroidery on both. 8 fragments.",Plant Fiber (uncertain),Basket,Old Town II,United States of America | Alaska | Knight Island | Yakutat Bay | Old Town,American
9950,29-12-15,images/15642_800.jpg,Baule,Baule,two,"Male. Wood colored red except eyeballs, white. Ireses are black. Hair, face and neck marks, black. Face marks, three scars across upper forehead. Three groups of three in line between eye and ear. Three groups of two along line of lower jaw.",Wood,Sculpture,Roman Period,Ivory Coast,African
9956,97-84-2493A,images/864947_800.jpg,Great Plains Culture Area,Sioux,five,"Beaded, tanned-hide quiver (arrow case) and bow case, wood bow and five wood arrows with feather fletching.",Buckskin | Bead,Quiver<br/><br/>Bow Case,Proto-Nasca,United States of America | North Dakota | Near Cannonball River,American
9959,29-27-283,images/481642_800.jpg,Southwest Culture Area,Cliff Dweller,one,Oblong grinding stone. Smoothed surfaces. Large chip removed from one end. Carved from a yellowish brown stone.,Stone,Mano,Mousterian,United States of America | New Mexico | Quay County | Logan (New Mexico),American
9981,46-5-14,images/784385_800.jpg,Northeast Culture Area,Woodland,one,"Stone. Chipped, asymmetric, one nearly straight edge, one convex with retouched edge, rounded distal end.",Stone,Implement,Mousterian,United States of America | New York | Renselaer County | Stony Point | Vandenburg Hill,American
9991,70-9-333B,images/630051_800.jpg,Southeast Culture Area,Cherokee,one,Used in bowl game; obtained from Will Westlong. It is not known what these dice represent. They are round and flat on one side; brown as if burnt with lines carved across them. The other side raises to a point. There are no burnt designs or carved designs. The dice are made of wood.,Wood,Game Piece,Mousterian,United States of America | North Carolina | Big Cove,American
10000,42-35-135,images/507948_800.jpg,Central American,Quiche,2,"Ruffle for Cofradia huiupil, cola de punto, circular, white cotton net heavily embroidered with silk flowers and leaves in red, rose, magenta, blue, green and orange.",Cotton,Blouse<br/><br/>Huipil,Early Dynastic,Guatemala | Department of Baja Verapaz | San Miquel Chicaj,American
10025,NA10652,images/858675_800.jpg,Great Plains Culture Area,Crow (Culture),One,Red cross in the interior of the bowl.,Wood | Pigment,Bowl,Iron Age | Hallstatt I | Bylany Phase,Montana,American
10028,21642.25,images/14827_800.jpg,Northeast Culture Area,Micmac,One,One bamboo stick for dice game.,Bamboo,Dice Game<br/><br/>Game Counter,Iron Age | Hallstatt I | Bylany Phase,Canada | Nova Scotia | Digby,American
10032,29-77-851,images/441994_800.jpg,Southwest Culture Area,Anasazi,one,Tularosa Black/White; handle fragment,Clay,Ladle,Mousterian,Arizona | Northeast Arizona | Upper Gila Area | Salt Area,American
10047,30-30-83,images/497187_800.jpg,Southwest Culture Area,Cliff Dweller,half,"Scraper with one slightly concave edge and one slightly convex edge. Both edges are retouched. One side is half covered in cortex. Worked unifacially. Black, gray, and brown stone.",Flint,Scraper,Cypro-Geometric IA,United States of America | Texas | Nueces County | Laguna Madre Islands,American
10048,43-19-4,images/494680_800.jpg,Southwest Culture Area,Pueblo,One,Grey ware. Corrugated with incised vertical lines.,Clay,Rim Sherd,Iron Age | Hallstatt I | Bylany Phase,New Mexico | Chaco Canyon,American
10050,CG041290-2082,images/866879_800.jpg,Great Plains Culture Area,Plains Indian,three,Bundle of black hair with a section of white quill wrapping.,Hair | Buckskin | Quill,Hair,Bronze Age,Great Plains (Plain),American
10051,26780,images/65202_800.jpg,Andean,Inca,one,"Flat base, globular body, collared tapering neck, two vertical loop handles on neck. Painted with vertical bar from neck to handles.Narrow-necked jar/bottle with a globular body, tapered neck, rounded rim, 2 strap handles on the body, and a flat base. No molded/modeled additions. The vessel is painted with bands of geometric design in orange, white, and black around the rim and down the sides of the body to the handle. There appears to be a burnished finish on the exterior. The vessel was likely fired in an oxidizing atmosphere as the ceramic paste is orange in color. Fireclouding is present on the body. The vessel is possibly overfired as the surface appears bubbly and porous in one area. The catalogue number is written on the object in black ink on the bottom of the base. Black ink on the bottom of the base reads: ""2712.""",Ceramic | Clay | Pigment,Flask,Mousterian,Peru | Pachacamac | Gravefield I,American
10069,32596,images/42551_800.jpg,Andean,Inca,Two,"Narrow tapestry border, interlocking fish design, blue, brown and white. Weft-face plainweave with discontinuous weft patterning. Two selvages present. Brown, white, yellow, grey, blue, green, red",Cotton,Textile Fragment,Birnirk,Peru | Town | Pachacamac,American
10093,NA9046,images/865105_800.jpg,Great Plains Culture Area,Sioux,two,War; hammer style of stone; thin handle.,Stone | Wood | Rawhide,Club,Roman Period,Peru | Pachacamac | Gravefield I,American
10107,NA10531,images/861715_800.jpg,Great Plains Culture Area,Crow (Culture),Two,Medicine bundle from Two Leggings; used particularly for horse stealing purposes.,Parfleche | Buckskin | Cloth,Medicine Bundle,Birnirk,Montana,American
10112,21829,images/467794_800.jpg,Southwest Culture Area,Pueblo | Zuni,Three,"Three, cylindrical, wooden kicking sticks of different thicknesses. Each stick has a section of red paint or evidence of paint that has now faded.",Wood,Kicking Sticks,Achaemenid,New Mexico,American
